,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck
0,0,3,1,22.0,1,0,7.25,2,2
1,1,1,0,38.0,1,0,71.2833,0,2
2,1,3,0,26.0,0,0,7.925,2,2
3,1,1,0,35.0,1,0,53.1,2,2
4,0,3,1,35.0,0,0,8.05,2,2
5,0,3,1,29.69911764705882,0,0,8.4583,1,2
6,0,1,1,54.0,0,0,51.8625,2,4
7,0,3,1,2.0,3,1,21.075,2,2
8,1,3,0,27.0,0,2,11.1333,2,2
9,1,2,0,14.0,1,0,30.0708,0,2
10,1,3,0,4.0,1,1,16.7,2,6
11,1,1,0,58.0,0,0,26.55,2,2
12,0,3,1,20.0,0,0,8.05,2,2
13,0,3,1,39.0,1,5,31.275,2,2
14,0,3,0,14.0,0,0,7.8542,2,2
15,1,2,0,55.0,0,0,16.0,2,2
16,0,3,1,2.0,4,1,29.125,1,2
17,1,2,1,29.69911764705882,0,0,13.0,2,2
18,0,3,0,31.0,1,0,18.0,2,2
19,1,3,0,29.69911764705882,0,0,7.225,0,2
20,0,2,1,35.0,0,0,26.0,2,2
21,1,2,1,34.0,0,0,13.0,2,3
22,1,3,0,15.0,0,0,8.0292,1,2
23,1,1,1,28.0,0,0,35.5,2,0
24,0,3,0,8.0,3,1,21.075,2,2
25,1,3,0,38.0,1,5,31.3875,2,2
26,0,3,1,29.69911764705882,0,0,7.225,0,2
27,0,1,1,19.0,3,2,263.0,2,2
28,1,3,0,29.69911764705882,0,0,7.8792,1,2
29,0,3,1,29.69911764705882,0,0,7.8958,2,2
30,0,1,1,40.0,0,0,27.7208,0,2
31,1,1,0,29.69911764705882,1,0,146.5208,0,1
32,1,3,0,29.69911764705882,0,0,7.75,1,2
33,0,2,1,66.0,0,0,10.5,2,2
34,0,1,1,28.0,1,0,82.1708,0,2
35,0,1,1,42.0,1,0,52.0,2,2
36,1,3,1,29.69911764705882,0,0,7.2292,0,2
37,0,3,1,21.0,0,0,8.05,2,2
38,0,3,0,18.0,2,0,18.0,2,2
39,1,3,0,14.0,1,0,11.2417,0,2
40,0,3,0,40.0,1,0,9.475,2,2
41,0,2,0,27.0,1,0,21.0,2,2
42,0,3,1,29.69911764705882,0,0,7.8958,0,2
43,1,2,0,3.0,1,2,41.5792,0,2
44,1,3,0,19.0,0,0,7.8792,1,2
45,0,3,1,29.69911764705882,0,0,8.05,2,2
46,0,3,1,29.69911764705882,1,0,15.5,1,2
47,1,3,0,29.69911764705882,0,0,7.75,1,2
48,0,3,1,29.69911764705882,2,0,21.6792,0,2
49,0,3,0,18.0,1,0,17.8,2,2
50,0,3,1,7.0,4,1,39.6875,2,2
51,0,3,1,21.0,0,0,7.8,2,2
52,1,1,0,49.0,1,0,76.7292,0,3
53,1,2,0,29.0,1,0,26.0,2,2
54,0,1,1,65.0,0,1,61.9792,0,1
55,1,1,1,29.69911764705882,0,0,35.5,2,2
56,1,2,0,21.0,0,0,10.5,2,2
57,0,3,1,28.5,0,0,7.2292,0,2
58,1,2,0,5.0,1,2,27.75,2,2
59,0,3,1,11.0,5,2,46.9,2,2
60,0,3,1,22.0,0,0,7.2292,0,2
61,1,1,0,38.0,0,0,80.0,-1,1
62,0,1,1,45.0,1,0,83.475,2,2
63,0,3,1,4.0,3,2,27.9,2,2
64,0,1,1,29.69911764705882,0,0,27.7208,0,2
65,1,3,1,29.69911764705882,1,1,15.2458,0,2
66,1,2,0,29.0,0,0,10.5,2,5
67,0,3,1,19.0,0,0,8.1583,2,2
68,1,3,0,17.0,4,2,7.925,2,2
69,0,3,1,26.0,2,0,8.6625,2,2
